2026-06-24 16:11:00Z hc3 (D2R_3): frame DiabloSplash (1s ago) [degraded] | last no input yet
2026-06-24 16:11:06Z hc1 (D2R_1): frame DiabloSplash (2s ago) [degraded] | last no input yet
2026-06-24 16:11:06Z hc2 (D2R_2): frame DiabloSplash (0s ago) [degraded] | last no input yet
2026-06-24 16:11:06Z hc3 (D2R_3): frame DiabloSplash (0s ago) [degraded] | last no input yet
2026-06-24 16:11:12Z hc1 (D2R_1): frame DiabloSplash (2s ago) [degraded] | last no input yet
2026-06-24 16:11:12Z hc2 (D2R_2): frame DiabloSplash (0s ago) [degraded] | last no input yet
2026-06-24 16:11:12Z hc3 (D2R_3): frame DiabloSplash (0s ago) [degraded] | last no input yet
2026-06-24 16:11:19Z hc1 (D2R_1): frame DiabloSplash (1s ago) [degraded] | last no input yet
2026-06-24 16:11:19Z hc2 (D2R_2): frame DiabloSplash (6s ago) [degraded] | last no input yet
2026-06-24 16:11:19Z hc3 (D2R_3): frame DiabloSplash (0s ago) [degraded] | last no input yet
2026-06-24 16:11:25Z hc1 (D2R_1): frame DiabloSplash (0s ago) [degraded] | last no input yet
2026-06-24 16:11:25Z hc2 (D2R_2): frame DiabloSplash (5s ago) [degraded] | last no input yet
2026-06-24 16:11:25Z hc3 (D2R_3): frame DiabloSplash (6s ago) [degraded] | last no input yet
2026-06-24 16:11:31Z hc1 (D2R_1): frame DiabloSplash (0s ago) [degraded] | last no input yet
2026-06-24 16:11:31Z hc2 (D2R_2): frame DiabloSplash (5s ago) [degraded] | last no input yet
2026-06-24 16:11:31Z hc3 (D2R_3): frame DiabloSplash (5s ago) [degraded] | last no input yet
2026-06-24 16:11:37Z hc1 (D2R_1): frame DiabloSplash (0s ago) [degraded] | last no input yet
2026-06-24 16:11:37Z hc2 (D2R_2): frame DiabloSplash (6s ago) [degraded] | last no input yet
2026-06-24 16:11:37Z hc3 (D2R_3): frame DiabloSplash (1s ago) [degraded] | last no input yet
2026-06-24 16:11:44Z hc1 (D2R_1): frame DiabloSplash (1s ago) [degraded] | last no input yet
2026-06-24 16:11:44Z hc2 (D2R_2): frame DiabloSplash (0s ago) [degraded] | last no input yet
2026-06-24 16:11:44Z hc3 (D2R_3): frame DiabloSplash (5s ago) [degraded] | last no input yet
2026-06-24 16:11:50Z hc1 (D2R_1): frame DiabloSplash (2s ago) [degraded] | last no input yet
2026-06-24 16:11:50Z hc2 (D2R_2): frame DiabloSplash (1s ago) [degraded] | last no input yet
2026-06-24 16:11:50Z hc3 (D2R_3): frame DiabloSplash (1s ago) [degraded] | last no input yet
2026-06-24 16:11:56Z hc1 (D2R_1): frame DiabloSplash (2s ago) [degraded] | last no input yet
2026-06-24 16:11:56Z hc2 (D2R_2): frame DiabloSplash (1s ago) [degraded] | last no input yet
2026-06-24 16:11:56Z hc3 (D2R_3): frame DiabloSplash (3s ago) [degraded] | last no input yet
