2026-06-25 16:44:00Z hc2 (D2R_2): frame CharacterMenu (9s ago) [degraded: Detailed status collection is still running; using process-only fallback.] | last click/Left@1143,106 (1s ago), fg ? | at FillTextFieldAsync: type text (1s ago)
2026-06-25 16:44:00Z hc3 (D2R_3): frame CharacterScreen (12s ago) [degraded: Detailed status collection is still running; using process-only fallback.] | last click/Left@1143,106 (4s ago), fg ? | at FillTextFieldAsync: type text (3s ago)
2026-06-25 16:44:03Z hc1 (D2R_1): frame CharacterScreen (14s ago) [degraded: UI command is active; using process-only status so diagnostics cannot starve menu input.] | last click/Left@1045,475 (3s ago), fg ? | at ClickMenuEntryButtonUntilEnteredGameAsync: loop iteration 17, waiting entry grace before HUD check (0s ago)
2026-06-25 16:44:03Z hc2 (D2R_2): frame CharacterMenu (11s ago) [degraded: Detailed status collection is still running; using process-only fallback.] | last click/Left@1143,106 (3s ago), fg ? | at FillTextFieldAsync: type text (3s ago)
2026-06-25 16:44:03Z hc3 (D2R_3): frame CharacterScreen (14s ago) [degraded: Detailed status collection is still running; using process-only fallback.] | last click/Left@1143,106 (6s ago), fg ? | at FillTextFieldAsync: type text (6s ago)
2026-06-25 16:44:05Z hc1 (D2R_1): frame CharacterScreen (16s ago) [degraded: UI command is active; using process-only status so diagnostics cannot starve menu input.] | last click/Left@1045,475 (5s ago), fg ? | at ClickMenuEntryButtonUntilEnteredGameAsync: loop iteration 28, waiting entry grace before HUD check (0s ago)
2026-06-25 16:44:05Z hc2 (D2R_2): frame CharacterMenu (14s ago) [degraded: Detailed status collection is still running; using process-only fallback.] | last click/Left@1143,106 (6s ago), fg ? | at FillTextFieldAsync: type text (5s ago)
2026-06-25 16:44:05Z hc3 (D2R_3): frame CharacterScreen (17s ago) [degraded: Detailed status collection is still running; using process-only fallback.] | last click/Left@1143,106 (8s ago), fg ? | at FillTextFieldAsync: type text (8s ago)
2026-06-25 16:44:07Z hc1 (D2R_1): frame CharacterScreen (18s ago) [degraded: UI command is active; using process-only status so diagnostics cannot starve menu input.] | last click/Left@1045,475 (8s ago), fg ? | at ClickMenuEntryButtonUntilEnteredGameAsync: entry grace elapsed (iteration 31), blind re-clicking entry button (2s ago)
2026-06-25 16:44:07Z hc2 (D2R_2): frame CharacterMenu (16s ago) [degraded: Detailed status collection is still running; using process-only fallback.] | last click/Left@1143,106 (8s ago), fg ? | at FillTextFieldAsync: type text (8s ago)
2026-06-25 16:44:07Z hc3 (D2R_3): frame CharacterScreen (19s ago) [degraded: Detailed status collection is still running; using process-only fallback.] | last click/Left@1143,106 (11s ago), fg ? | at FillTextFieldAsync: type text (10s ago)
2026-06-25 16:44:09Z hc1 (D2R_1): frame CharacterScreen (21s ago) [degraded: UI command is active; using process-only status so diagnostics cannot starve menu input.] | last click/Left@1045,475 (10s ago), fg ? | at ClickMenuEntryButtonUntilEnteredGameAsync: loop iteration 40, waiting entry grace before HUD check (0s ago)
2026-06-25 16:44:09Z hc2 (D2R_2): frame CharacterMenu (18s ago) [degraded: Detailed status collection is still running; using process-only fallback.] | last click/Left@1143,106 (10s ago), fg ? | at FillTextFieldAsync: type text (10s ago)
2026-06-25 16:44:09Z hc3 (D2R_3): frame CharacterScreen (21s ago) [degraded: Detailed status collection is still running; using process-only fallback.] | last click/Left@1143,106 (13s ago), fg ? | at FillTextFieldAsync: type text (13s ago)
2026-06-25 16:44:12Z hc1 (D2R_1): frame CharacterScreen (23s ago) [degraded: UI command is active; using process-only status so diagnostics cannot starve menu input.] | last click/Left@1045,475 (12s ago), fg ? | at ClickMenuEntryButtonUntilEnteredGameAsync: loop iteration 51, waiting entry grace before HUD check (0s ago)
