2026-06-24 19:57:50Z hc1 (D2R_1): frame unknown [degraded] | last no input yet
2026-06-24 19:57:50Z hc2 (D2R_2): frame unknown [degraded] | last no input yet
2026-06-24 19:57:50Z hc3 (D2R_3): frame unknown [degraded] | last no input yet
2026-06-24 19:57:52Z hc1 (D2R_1): frame unknown [degraded] | last no input yet
2026-06-24 19:57:52Z hc2 (D2R_2): frame unknown [degraded] | last no input yet
2026-06-24 19:57:52Z hc3 (D2R_3): frame unknown [degraded] | last no input yet
2026-06-24 19:57:55Z hc1 (D2R_1): frame unknown [degraded] | last no input yet
2026-06-24 19:57:55Z hc2 (D2R_2): frame unknown [degraded] | last no input yet
2026-06-24 19:57:55Z hc3 (D2R_3): frame unknown [degraded] | last no input yet
2026-06-24 19:57:57Z hc1 (D2R_1): frame unknown [degraded] | last no input yet
2026-06-24 19:57:57Z hc2 (D2R_2): frame unknown [degraded] | last no input yet
2026-06-24 19:57:57Z hc3 (D2R_3): frame unknown [degraded] | last no input yet
2026-06-24 19:57:59Z hc1 (D2R_1): frame unknown [degraded] | last no input yet
2026-06-24 19:57:59Z hc2 (D2R_2): frame unknown [degraded] | last no input yet
2026-06-24 19:57:59Z hc3 (D2R_3): frame unknown [degraded] | last no input yet
2026-06-24 19:58:02Z hc1 (D2R_1): frame unknown [degraded] | last no input yet
2026-06-24 19:58:02Z hc2 (D2R_2): frame unknown [degraded] | last no input yet
2026-06-24 19:58:02Z hc3 (D2R_3): frame unknown [degraded] | last no input yet
2026-06-24 19:58:04Z hc1 (D2R_1): frame unknown [degraded] | last no input yet
2026-06-24 19:58:04Z hc2 (D2R_2): frame unknown [degraded] | last no input yet
2026-06-24 19:58:04Z hc3 (D2R_3): frame unknown [degraded] | last no input yet
2026-06-24 19:58:06Z hc1 (D2R_1): frame unknown [degraded] | last no input yet
2026-06-24 19:58:06Z hc2 (D2R_2): frame unknown [degraded] | last no input yet
2026-06-24 19:58:06Z hc3 (D2R_3): frame unknown [degraded] | last no input yet
2026-06-24 19:58:08Z hc1 (D2R_1): frame unknown [degraded] | last no input yet
2026-06-24 19:58:08Z hc2 (D2R_2): frame unknown [degraded] | last no input yet
2026-06-24 19:58:08Z hc3 (D2R_3): frame unknown [degraded] | last no input yet
2026-06-24 19:58:11Z hc1 (D2R_1): frame unknown [degraded] | last no input yet
2026-06-24 19:58:11Z hc2 (D2R_2): frame unknown [degraded] | last no input yet
2026-06-24 19:58:11Z hc3 (D2R_3): frame unknown [degraded] | last no input yet
2026-06-24 19:58:13Z hc1 (D2R_1): frame unknown [degraded] | last no input yet
2026-06-24 19:58:13Z hc2 (D2R_2): frame unknown [degraded] | last no input yet
2026-06-24 19:58:13Z hc3 (D2R_3): frame unknown [degraded] | last no input yet
2026-06-24 19:58:15Z hc1 (D2R_1): frame unknown [degraded] | last no input yet
2026-06-24 19:58:15Z hc2 (D2R_2): frame unknown [degraded] | last no input yet
2026-06-24 19:58:15Z hc3 (D2R_3): frame unknown [degraded] | last no input yet
2026-06-24 19:58:31Z hc3 (D2R_3): frame Unknown (14s ago) [degraded] | last key/Escape/G/Space/Enter@683,384 (11s ago), fg ? | checks splash=F(lum=2,grey=0.00,dark=1.00,orange=0.00) connecting=F(lum=10,grey=0.00,dark=1.00,orange=0.00) offline=F(lum=5,grey=0.00,dark=1.00,orange=0.00) char(btn=F(lum=1,grey=0.00,dark=1.00,orange=0.00),menu=F(lum=1,grey=0.00,dark=1.00,orange=0.00)) (14s ago)
2026-06-24 19:58:34Z hc1 (D2R_1): frame Unknown (16s ago) [degraded] | last key/Escape/G/Space/Enter@683,384 (13s ago), fg ? | checks splash=F(lum=2,grey=0.00,dark=1.00,orange=0.00) connecting=F(lum=10,grey=0.00,dark=1.00,orange=0.00) offline=F(lum=5,grey=0.00,dark=1.00,orange=0.00) char(btn=F(lum=1,grey=0.00,dark=1.00,orange=0.00),menu=F(lum=1,grey=0.00,dark=1.00,orange=0.00)) (16s ago)
2026-06-24 19:58:34Z hc2 (D2R_2): frame Unknown (16s ago) [degraded] | last key/Escape/G/Space/Enter@683,384 (13s ago), fg ? | checks splash=F(lum=2,grey=0.00,dark=1.00,orange=0.00) connecting=F(lum=10,grey=0.00,dark=1.00,orange=0.00) offline=F(lum=5,grey=0.00,dark=1.00,orange=0.00) char(btn=F(lum=1,grey=0.00,dark=1.00,orange=0.00),menu=F(lum=1,grey=0.00,dark=1.00,orange=0.00)) (16s ago)
2026-06-24 19:58:34Z hc3 (D2R_3): frame Unknown (17s ago) [degraded] | last key/Escape/G/Space/Enter@683,384 (14s ago), fg ? | checks splash=F(lum=2,grey=0.00,dark=1.00,orange=0.00) connecting=F(lum=10,grey=0.00,dark=1.00,orange=0.00) offline=F(lum=5,grey=0.00,dark=1.00,orange=0.00) char(btn=F(lum=1,grey=0.00,dark=1.00,orange=0.00),menu=F(lum=1,grey=0.00,dark=1.00,orange=0.00)) (17s ago)
2026-06-24 19:58:36Z hc1 (D2R_1): frame Unknown (19s ago) [degraded] | last key/Escape/G/Space/Enter@683,384 (16s ago), fg ? | checks splash=F(lum=2,grey=0.00,dark=1.00,orange=0.00) connecting=F(lum=10,grey=0.00,dark=1.00,orange=0.00) offline=F(lum=5,grey=0.00,dark=1.00,orange=0.00) char(btn=F(lum=1,grey=0.00,dark=1.00,orange=0.00),menu=F(lum=1,grey=0.00,dark=1.00,orange=0.00)) (19s ago)
2026-06-24 19:58:36Z hc2 (D2R_2): frame Unknown (19s ago) [degraded] | last key/Escape/G/Space/Enter@683,384 (16s ago), fg ? | checks splash=F(lum=2,grey=0.00,dark=1.00,orange=0.00) connecting=F(lum=10,grey=0.00,dark=1.00,orange=0.00) offline=F(lum=5,grey=0.00,dark=1.00,orange=0.00) char(btn=F(lum=1,grey=0.00,dark=1.00,orange=0.00),menu=F(lum=1,grey=0.00,dark=1.00,orange=0.00)) (19s ago)
2026-06-24 19:58:36Z hc3 (D2R_3): frame Unknown (19s ago) [degraded] | last key/Escape/G/Space/Enter@683,384 (16s ago), fg ? | checks splash=F(lum=2,grey=0.00,dark=1.00,orange=0.00) connecting=F(lum=10,grey=0.00,dark=1.00,orange=0.00) offline=F(lum=5,grey=0.00,dark=1.00,orange=0.00) char(btn=F(lum=1,grey=0.00,dark=1.00,orange=0.00),menu=F(lum=1,grey=0.00,dark=1.00,orange=0.00)) (19s ago)
2026-06-24 19:58:38Z hc1 (D2R_1): frame Unknown (21s ago) [degraded] | last key/Escape/G/Space/Enter@683,384 (18s ago), fg ? | checks splash=F(lum=2,grey=0.00,dark=1.00,orange=0.00) connecting=F(lum=10,grey=0.00,dark=1.00,orange=0.00) offline=F(lum=5,grey=0.00,dark=1.00,orange=0.00) char(btn=F(lum=1,grey=0.00,dark=1.00,orange=0.00),menu=F(lum=1,grey=0.00,dark=1.00,orange=0.00)) (21s ago)
2026-06-24 19:58:38Z hc2 (D2R_2): frame Unknown (21s ago) [degraded] | last key/Escape/G/Space/Enter@683,384 (18s ago), fg ? | checks splash=F(lum=2,grey=0.00,dark=1.00,orange=0.00) connecting=F(lum=10,grey=0.00,dark=1.00,orange=0.00) offline=F(lum=5,grey=0.00,dark=1.00,orange=0.00) char(btn=F(lum=1,grey=0.00,dark=1.00,orange=0.00),menu=F(lum=1,grey=0.00,dark=1.00,orange=0.00)) (21s ago)
2026-06-24 19:58:38Z hc3 (D2R_3): frame Unknown (21s ago) [degraded] | last key/Escape/G/Space/Enter@683,384 (18s ago), fg ? | checks splash=F(lum=2,grey=0.00,dark=1.00,orange=0.00) connecting=F(lum=10,grey=0.00,dark=1.00,orange=0.00) offline=F(lum=5,grey=0.00,dark=1.00,orange=0.00) char(btn=F(lum=1,grey=0.00,dark=1.00,orange=0.00),menu=F(lum=1,grey=0.00,dark=1.00,orange=0.00)) (21s ago)
2026-06-24 19:58:41Z hc1 (D2R_1): frame Unknown (23s ago) [degraded] | last key/Escape/G/Space/Enter@683,384 (20s ago), fg ? | checks splash=F(lum=2,grey=0.00,dark=1.00,orange=0.00) connecting=F(lum=10,grey=0.00,dark=1.00,orange=0.00) offline=F(lum=5,grey=0.00,dark=1.00,orange=0.00) char(btn=F(lum=1,grey=0.00,dark=1.00,orange=0.00),menu=F(lum=1,grey=0.00,dark=1.00,orange=0.00)) (23s ago)
2026-06-24 19:58:41Z hc2 (D2R_2): frame Unknown (23s ago) [degraded] | last key/Escape/G/Space/Enter@683,384 (20s ago), fg ? | checks splash=F(lum=2,grey=0.00,dark=1.00,orange=0.00) connecting=F(lum=10,grey=0.00,dark=1.00,orange=0.00) offline=F(lum=5,grey=0.00,dark=1.00,orange=0.00) char(btn=F(lum=1,grey=0.00,dark=1.00,orange=0.00),menu=F(lum=1,grey=0.00,dark=1.00,orange=0.00)) (23s ago)
2026-06-24 19:58:41Z hc3 (D2R_3): frame Unknown (24s ago) [degraded] | last key/Escape/G/Space/Enter@683,384 (21s ago), fg ? | checks splash=F(lum=2,grey=0.00,dark=1.00,orange=0.00) connecting=F(lum=10,grey=0.00,dark=1.00,orange=0.00) offline=F(lum=5,grey=0.00,dark=1.00,orange=0.00) char(btn=F(lum=1,grey=0.00,dark=1.00,orange=0.00),menu=F(lum=1,grey=0.00,dark=1.00,orange=0.00)) (24s ago)
2026-06-24 19:58:43Z hc1 (D2R_1): frame Unknown (26s ago) [degraded] | last key/Escape/G/Space/Enter@683,384 (23s ago), fg ? | checks splash=F(lum=2,grey=0.00,dark=1.00,orange=0.00) connecting=F(lum=10,grey=0.00,dark=1.00,orange=0.00) offline=F(lum=5,grey=0.00,dark=1.00,orange=0.00) char(btn=F(lum=1,grey=0.00,dark=1.00,orange=0.00),menu=F(lum=1,grey=0.00,dark=1.00,orange=0.00)) (26s ago)
2026-06-24 19:58:43Z hc2 (D2R_2): frame Unknown (25s ago) [degraded] | last key/Escape/G/Space/Enter@683,384 (22s ago), fg ? | checks splash=F(lum=2,grey=0.00,dark=1.00,orange=0.00) connecting=F(lum=10,grey=0.00,dark=1.00,orange=0.00) offline=F(lum=5,grey=0.00,dark=1.00,orange=0.00) char(btn=F(lum=1,grey=0.00,dark=1.00,orange=0.00),menu=F(lum=1,grey=0.00,dark=1.00,orange=0.00)) (25s ago)
2026-06-24 19:58:43Z hc3 (D2R_3): frame Unknown (26s ago) [degraded] | last key/Escape/G/Space/Enter@683,384 (23s ago), fg ? | checks splash=F(lum=2,grey=0.00,dark=1.00,orange=0.00) connecting=F(lum=10,grey=0.00,dark=1.00,orange=0.00) offline=F(lum=5,grey=0.00,dark=1.00,orange=0.00) char(btn=F(lum=1,grey=0.00,dark=1.00,orange=0.00),menu=F(lum=1,grey=0.00,dark=1.00,orange=0.00)) (26s ago)
2026-06-24 19:58:45Z hc1 (D2R_1): frame Unknown (28s ago) [degraded] | last key/Escape/G/Space/Enter@683,384 (25s ago), fg ? | checks splash=F(lum=2,grey=0.00,dark=1.00,orange=0.00) connecting=F(lum=10,grey=0.00,dark=1.00,orange=0.00) offline=F(lum=5,grey=0.00,dark=1.00,orange=0.00) char(btn=F(lum=1,grey=0.00,dark=1.00,orange=0.00),menu=F(lum=1,grey=0.00,dark=1.00,orange=0.00)) (28s ago)
2026-06-24 19:58:45Z hc2 (D2R_2): frame Unknown (28s ago) [degraded] | last key/Escape/G/Space/Enter@683,384 (25s ago), fg ? | checks splash=F(lum=2,grey=0.00,dark=1.00,orange=0.00) connecting=F(lum=10,grey=0.00,dark=1.00,orange=0.00) offline=F(lum=5,grey=0.00,dark=1.00,orange=0.00) char(btn=F(lum=1,grey=0.00,dark=1.00,orange=0.00),menu=F(lum=1,grey=0.00,dark=1.00,orange=0.00)) (28s ago)
2026-06-24 19:58:45Z hc3 (D2R_3): frame Unknown (28s ago) [degraded] | last key/Escape/G/Space/Enter@683,384 (25s ago), fg ? | checks splash=F(lum=2,grey=0.00,dark=1.00,orange=0.00) connecting=F(lum=10,grey=0.00,dark=1.00,orange=0.00) offline=F(lum=5,grey=0.00,dark=1.00,orange=0.00) char(btn=F(lum=1,grey=0.00,dark=1.00,orange=0.00),menu=F(lum=1,grey=0.00,dark=1.00,orange=0.00)) (28s ago)
